Sexo,Mes,Mes Num,Año,Número emigrantes
Hombre,Enero,1,2009,1716
Hombre,Febrero,2,2009,1950
Hombre,Marzo,3,2009,2515
Hombre,Abril,4,2009,1996
Hombre,Mayo,5,2009,1911
Hombre,Junio,6,2009,1762
Hombre,Julio,7,2009,1681
Hombre,Agosto,8,2009,1266
Hombre,Septiembre,9,2009,431
Hombre,Octubre,10,2009,1664
Hombre,Noviembre,11,2009,665
Hombre,Diciembre,12,2009,937
Hombre,Enero,1,2010,1589
Hombre,Febrero,2,2010,1808
Hombre,Marzo,3,2010,2232
Hombre,Abril,4,2010,1834
Hombre,Mayo,5,2010,1976
Hombre,Junio,6,2010,2035
Hombre,Julio,7,2010,1789
Hombre,Agosto,8,2010,1004
Hombre,Septiembre,9,2010,1563
Hombre,Octubre,10,2010,1206
Hombre,Noviembre,11,2010,1240
Hombre,Diciembre,12,2010,963
Hombre,Enero,1,2011,1815
Hombre,Febrero,2,2011,2012
Hombre,Marzo,3,2011,2394
Hombre,Abril,4,2011,2241
Hombre,Mayo,5,2011,2418
Hombre,Junio,6,2011,2754
Hombre,Julio,7,2011,2477
Hombre,Agosto,8,2011,2717
Hombre,Septiembre,9,2011,3036
Hombre,Octubre,10,2011,2980
Hombre,Noviembre,11,2011,2992
Hombre,Diciembre,12,2011,2475
Hombre,Enero,1,2012,3090
Hombre,Febrero,2,2012,3227
Hombre,Marzo,3,2012,3822
Hombre,Abril,4,2012,3453
Hombre,Mayo,5,2012,3633
Hombre,Junio,6,2012,3864
Mujer,Enero,1,2009,1560
Mujer,Febrero,2,2009,1772
Mujer,Marzo,3,2009,2286
Mujer,Abril,4,2009,1814
Mujer,Mayo,5,2009,1737
Mujer,Junio,6,2009,1601
Mujer,Julio,7,2009,1527
Mujer,Agosto,8,2009,1150
Mujer,Septiembre,9,2009,392
Mujer,Octubre,10,2009,1512
Mujer,Noviembre,11,2009,605
Mujer,Diciembre,12,2009,852
Mujer,Enero,1,2010,1464
Mujer,Febrero,2,2010,1666
Mujer,Marzo,3,2010,2057
Mujer,Abril,4,2010,1690
Mujer,Mayo,5,2010,1821
Mujer,Junio,6,2010,1875
Mujer,Julio,7,2010,1649
Mujer,Agosto,8,2010,925
Mujer,Septiembre,9,2010,1441
Mujer,Octubre,10,2010,1111
Mujer,Noviembre,11,2010,1143
Mujer,Diciembre,12,2010,887
Mujer,Enero,1,2011,1934
Mujer,Febrero,2,2011,2144
Mujer,Marzo,3,2011,2551
Mujer,Abril,4,2011,2388
Mujer,Mayo,5,2011,2576
Mujer,Junio,6,2011,2934
Mujer,Julio,7,2011,2640
Mujer,Agosto,8,2011,2895
Mujer,Septiembre,9,2011,3235
Mujer,Octubre,10,2011,3176
Mujer,Noviembre,11,2011,3189
Mujer,Diciembre,12,2011,2637
Mujer,Enero,1,2012,2862
Mujer,Febrero,2,2012,2989
Mujer,Marzo,3,2012,3540
Mujer,Abril,4,2012,3198
Mujer,Mayo,5,2012,3366
Mujer,Junio,6,2012,3579
